"Gene1","Gene2","Correlation"
"HSH2D","TNFRSF9",0.62561703398643
"EDNRB","TEK",0.625480319690214
"CCR2","TNFSF13B",0.625314893491866
"CSF1","DOK3",0.624357974717327
"CD2","SIGLEC7",0.624117236754834
"TNFSF13B","TRAT1",0.62396038764494
"APOBR","IL12RB1",0.623932699894093
"CFL1","CRYBG3",-0.623058285296764
"JAM2","RHOJ",0.622608681249013
"GAS7","LRP1",0.622048140182682
"ADAM33","LRP1",0.621006218119284
"ARHGEF15","RAI2",0.61958480522387
"CFL1","UBE2S",0.619259331871589
"CD48","PPP1R16B",0.619019954408139
"GUK1","TPRN",0.618712525383599
"ADAM33","CD248",0.618500842837928
"JAM2","TGFBR2",0.618413401343483
"CD2","CLIC5",0.617749579779425
"ADGRA2","MRGPRF",0.617297459186233
"CLIC5","ICOS",0.616313546920699
"GNB2","UBE2S",0.615851910327473
"HLA-A","IL2RG",0.614857615480243
"CD248","CDH5",0.614064422448008
"BMX","CDH5",0.61295644057656
"ADRB2","SAMSN1",0.612424505180088
"GNB2","SLC4A7",-0.612123468065232
"NT5E","SAMD4A",0.612055975746045
"ABCB1","TNFRSF9",0.611864120887001
"PLPP1","RHOJ",0.61146743976583
